Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,05;0,10;0,00;0,00
0,04;0,05;0,10;0,00;0,00
0,06;0,05;0,10;0,00;0,00
0,08;0,05;0,10;0,00;0,00
0,10;0,06;0,10;0,00;0,00
0,12;0,06;0,11;0,00;0,00
0,14;0,06;0,11;0,00;0,00
0,16;0,06;0,11;0,00;0,00
0,18;0,06;0,11;0,00;0,00
0,20;0,06;0,12;0,00;0,00
0,22;0,06;0,12;0,00;0,00
0,24;0,06;0,12;0,00;0,00
0,26;0,06;0,13;0,00;0,00
0,28;0,06;0,13;0,00;0,00
0,30;0,06;0,14;0,00;0,00
0,32;0,06;0,14;0,00;0,00
0,34;0,06;0,14;0,00;0,00
0,36;0,06;0,14;0,00;0,00
0,38;0,06;0,15;0,00;0,00
0,40;0,06;0,14;0,00;0,00
0,42;0,06;0,14;0,00;0,00
0,44;0,06;0,14;0,00;0,00
0,46;0,06;0,14;0,00;0,00
0,48;0,06;0,14;0,00;0,00
0,50;0,06;0,14;0,00;0,00
0,52;0,06;0,14;0,00;0,01
0,54;0,06;0,14;0,00;0,01
0,56;0,06;0,15;0,00;0,01
0,58;0,06;0,15;0,01;0,01
0,60;0,06;0,15;0,01;0,01
0,62;0,06;0,15;0,01;0,01
0,64;0,06;0,15;0,01;0,01
0,66;0,06;0,15;0,01;0,01
0,68;0,06;0,15;0,01;0,01
0,70;0,06;0,15;0,01;0,01
0,72;0,06;0,15;0,01;0,01
0,74;0,06;0,15;0,01;0,01
0,76;0,06;0,15;0,01;0,01
0,78;0,06;0,15;0,01;0,01
0,80;0,06;0,15;0,01;0,01
0,82;0,06;0,15;0,01;0,01
0,84;0,06;0,16;0,01;0,01
0,86;0,06;0,16;0,01;0,01
0,88;0,06;0,15;0,01;0,01
0,90;0,06;0,16;0,01;0,01
0,92;0,07;0,16;0,01;0,01
0,94;0,07;0,15;0,01;0,01
0,96;0,07;0,16;0,01;0,01
0,98;0,07;0,16;0,01;0,01
1,00;0,07;0,16;0,01;0,01
1,02;0,07;0,16;0,01;0,01
1,04;0,07;0,16;0,01;0,01
1,06;0,07;0,16;0,01;0,01
1,08;0,07;0,16;0,01;0,01
1,10;0,07;0,17;0,01;0,01
1,12;0,07;0,16;0,01;0,02
1,14;0,07;0,17;0,01;0,02
1,16;0,07;0,17;0,01;0,02
1,18;0,07;0,17;0,01;0,02
1,20;0,07;0,17;0,01;0,02
1,22;0,07;0,17;0,01;0,02
1,24;0,07;0,18;0,01;0,02
1,26;0,07;0,17;0,01;0,02
1,28;0,07;0,17;0,02;0,02
1,30;0,07;0,17;0,02;0,02
1,32;0,07;0,17;0,01;0,02
1,34;0,07;0,17;0,01;0,02
1,36;0,07;0,17;0,02;0,02
1,38;0,07;0,18;0,02;0,02
1,40;0,07;0,18;0,02;0,02
1,42;0,07;0,18;0,01;0,02
1,44;0,07;0,18;0,01;0,02
1,46;0,07;0,18;0,01;0,02
1,48;0,07;0,18;0,01;0,02
1,50;0,07;0,18;0,02;0,02
1,52;0,07;0,18;0,02;0,02
1,54;0,07;0,18;0,02;0,02
1,56;0,07;0,19;0,02;0,02
1,58;0,07;0,18;0,02;0,02
1,60;0,07;0,19;0,02;0,02
1,62;0,07;0,19;0,02;0,02
1,64;0,07;0,19;0,02;0,02
1,66;0,07;0,19;0,02;0,02
1,68;0,07;0,19;0,02;0,02
1,70;0,07;0,19;0,02;0,02
1,72;0,07;0,19;0,02;0,02
1,74;0,07;0,19;0,02;0,02
1,76;0,07;0,19;0,02;0,02
1,78;0,07;0,19;0,02;0,02
1,80;0,07;0,19;0,02;0,02
1,82;0,07;0,19;0,02;0,02
1,84;0,07;0,19;0,02;0,02
1,86;0,07;0,20;0,02;0,02
1,88;0,07;0,20;0,02;0,02
1,90;0,07;0,20;0,02;0,02
1,92;0,07;0,20;0,02;0,02
1,94;0,08;0,20;0,02;0,02
1,96;0,08;0,20;0,02;0,02
1,98;0,08;0,20;0,02;0,02
2,00;0,08;0,20;0,02;0,02
2,02;0,08;0,20;0,02;0,02
2,04;0,08;0,20;0,02;0,02
2,06;0,08;0,20;0,02;0,02
2,08;0,08;0,20;0,02;0,02
2,10;0,08;0,21;0,02;0,02
2,12;0,08;0,20;0,02;0,02
2,14;0,08;0,21;0,02;0,02
2,16;0,08;0,21;0,02;0,02
2,18;0,08;0,21;0,02;0,02
2,20;0,08;0,21;0,02;0,02
2,22;0,08;0,21;0,02;0,02
2,24;0,08;0,21;0,02;0,02
2,26;0,08;0,21;0,02;0,02
2,28;0,08;0,21;0,02;0,02
2,30;0,08;0,22;0,02;0,02
2,32;0,08;0,22;0,02;0,02
2,34;0,08;0,22;0,02;0,02
2,36;0,08;0,22;0,02;0,02
2,38;0,08;0,22;0,02;0,02
2,40;0,08;0,22;0,02;0,02
2,42;0,08;0,22;0,02;0,02
2,44;0,08;0,22;0,02;0,02
2,46;0,08;0,22;0,02;0,02
2,48;0,08;0,22;0,02;0,03
2,50;0,08;0,23;0,02;0,03
2,52;0,08;0,23;0,02;0,03
2,54;0,08;0,23;0,02;0,03
2,56;0,08;0,23;0,02;0,03
2,58;0,08;0,23;0,03;0,03
2,60;0,08;0,23;0,03;0,03
2,62;0,08;0,23;0,03;0,03
2,64;0,08;0,23;0,03;0,03
2,66;0,08;0,23;0,03;0,03
2,68;0,08;0,23;0,03;0,03
2,70;0,08;0,24;0,03;0,03
2,72;0,08;0,23;0,03;0,03
2,74;0,08;0,24;0,03;0,03
2,76;0,08;0,24;0,03;0,03
2,78;0,08;0,24;0,03;0,03
2,80;0,08;0,24;0,03;0,03
2,82;0,08;0,24;0,03;0,03
2,84;0,08;0,24;0,03;0,03
2,86;0,08;0,24;0,03;0,03
2,88;0,08;0,25;0,03;0,03
2,90;0,08;0,25;0,03;0,03
2,92;0,08;0,24;0,03;0,03
2,94;0,09;0,25;0,03;0,03
2,96;0,09;0,25;0,03;0,03
2,98;0,09;0,25;0,03;0,03
3,00;0,09;0,25;0,03;0,03
3,02;0,09;0,25;0,03;0,03
3,04;0,09;0,25;0,03;0,03
3,06;0,09;0,25;0,03;0,03
3,08;0,09;0,25;0,03;0,03
3,10;0,09;0,25;0,03;0,03
3,12;0,09;0,26;0,03;0,03
3,14;0,09;0,26;0,03;0,03
3,16;0,09;0,26;0,03;0,03
3,18;0,09;0,26;0,03;0,03
3,20;0,09;0,26;0,03;0,03
3,22;0,09;0,26;0,03;0,03
3,24;0,09;0,26;0,03;0,03
3,26;0,09;0,26;0,03;0,03
3,28;0,09;0,26;0,03;0,03
3,30;0,09;0,26;0,03;0,03
3,32;0,09;0,27;0,03;0,04
3,34;0,09;0,27;0,03;0,04
3,36;0,09;0,27;0,03;0,04
3,38;0,09;0,27;0,03;0,04
3,40;0,09;0,27;0,03;0,04
3,42;0,09;0,27;0,04;0,04
3,44;0,09;0,27;0,04;0,04
3,46;0,09;0,27;0,04;0,04
3,48;0,09;0,27;0,04;0,04
3,50;0,09;0,27;0,04;0,04
3,52;0,09;0,28;0,04;0,04
3,54;0,09;0,28;0,04;0,04
3,56;0,09;0,28;0,04;0,04
3,58;0,09;0,28;0,04;0,04
3,60;0,09;0,28;0,04;0,04
3,62;0,09;0,28;0,04;0,04
3,64;0,09;0,28;0,04;0,04
3,66;0,09;0,28;0,03;0,04
3,68;0,09;0,28;0,03;0,04
3,70;0,09;0,28;0,04;0,04
3,72;0,09;0,28;0,04;0,04
3,74;0,09;0,29;0,03;0,04
3,76;0,09;0,28;0,03;0,04
3,78;0,09;0,29;0,03;0,04
3,80;0,09;0,29;0,04;0,04
3,82;0,09;0,29;0,04;0,04
3,84;0,09;0,29;0,04;0,04
3,86;0,09;0,29;0,04;0,04
3,88;0,09;0,30;0,04;0,04
3,90;0,09;0,30;0,04;0,04
3,92;0,09;0,30;0,04;0,04
3,94;0,10;0,30;0,04;0,04
3,96;0,10;0,30;0,04;0,04
3,98;0,10;0,30;0,04;0,04
4,00;0,10;0,30;0,04;0,04
4,02;0,10;0,30;0,04;0,04
4,04;0,10;0,31;0,04;0,04
4,06;0,10;0,31;0,04;0,04
4,08;0,10;0,31;0,04;0,04
4,10;0,10;0,31;0,04;0,04
4,12;0,10;0,31;0,04;0,04
4,14;0,10;0,31;0,04;0,04
4,16;0,10;0,31;0,04;0,04
4,18;0,10;0,31;0,04;0,04
4,20;0,10;0,31;0,04;0,04
4,22;0,10;0,31;0,04;0,04
4,24;0,10;0,31;0,04;0,04
4,26;0,10;0,32;0,04;0,04
4,28;0,10;0,31;0,04;0,04
4,30;0,10;0,31;0,04;0,04
4,32;0,10;0,31;0,04;0,04
4,34;0,10;0,32;0,04;0,04
4,36;0,10;0,32;0,04;0,04
4,38;0,10;0,32;0,04;0,04
4,40;0,10;0,32;0,04;0,04
4,42;0,10;0,32;0,04;0,04
4,44;0,10;0,32;0,04;0,04
4,46;0,10;0,32;0,04;0,04
4,48;0,10;0,32;0,04;0,04
4,50;0,10;0,32;0,03;0,04
4,52;0,10;0,32;0,03;0,04
4,54;0,10;0,33;0,03;0,04
4,56;0,10;0,33;0,03;0,04
4,58;0,10;0,33;0,03;0,03
4,60;0,10;0,33;0,03;0,03
4,62;0,10;0,33;0,03;0,03
4,64;0,10;0,33;0,03;0,03
4,66;0,10;0,33;0,03;0,03
4,68;0,10;0,33;0,03;0,03
4,70;0,10;0,34;0,03;0,03
4,72;0,10;0,33;0,03;0,03
4,74;0,10;0,34;0,02;0,03
4,76;0,10;0,34;0,02;0,03
4,78;0,10;0,34;0,02;0,02
4,80;0,10;0,34;0,02;0,02
4,82;0,10;0,34;0,02;0,02
4,84;0,10;0,34;0,02;0,02
4,86;0,10;0,34;0,02;0,02
4,88;0,10;0,34;0,02;0,02
4,90;0,10;0,34;0,02;0,02
4,92;0,10;0,34;0,02;0,02
4,94;0,11;0,35;0,02;0,02
4,96;0,11;0,35;0,01;0,02
4,98;0,11;0,35;0,01;0,01
5,00;0,11;0,35;0,01;0,01
5,02;0,11;0,35;0,01;0,01
5,04;0,11;0,34;0,01;0,01
5,06;0,11;0,35;0,01;0,01
5,08;0,11;0,35;0,01;0,01
5,10;0,11;0,35;0,01;0,02
5,12;0,11;0,35;0,01;0,02
5,14;0,11;0,35;0,01;0,02
5,16;0,11;0,35;0,02;0,02
5,18;0,11;0,36;0,02;0,02
5,20;0,11;0,36;0,02;0,02
5,22;0,11;0,36;0,02;0,02
5,24;0,11;0,36;0,02;0,02
5,26;0,11;0,36;0,02;0,02
5,28;0,11;0,36;0,02;0,02
5,30;0,11;0,36;0,02;0,03
5,32;0,11;0,37;0,02;0,03
5,34;0,11;0,37;0,03;0,03
5,36;0,11;0,37;0,03;0,03
5,38;0,11;0,37;0,03;0,03
5,40;0,11;0,37;0,03;0,03
5,42;0,11;0,37;0,03;0,03
5,44;0,11;0,37;0,03;0,03
5,46;0,11;0,37;0,03;0,03
5,48;0,11;0,37;0,04;0,04
5,50;0,11;0,37;0,04;0,04
5,52;0,11;0,37;0,04;0,04
5,54;0,11;0,37;0,04;0,04
5,56;0,11;0,37;0,04;0,04
5,58;0,11;0,38;0,04;0,04
5,60;0,11;0,37;0,04;0,04
5,62;0,11;0,38;0,04;0,04
5,64;0,11;0,38;0,04;0,04
5,66;0,11;0,38;0,04;0,04
5,68;0,11;0,38;0,04;0,04
5,70;0,11;0,38;0,04;0,04
5,72;0,11;0,38;0,04;0,04
5,74;0,11;0,38;0,04;0,04
5,76;0,11;0,38;0,04;0,04
5,78;0,11;0,38;0,04;0,04
5,80;0,11;0,39;0,04;0,05
5,82;0,11;0,39;0,04;0,05
5,84;0,11;0,39;0,04;0,05
5,86;0,11;0,39;0,05;0,05
5,88;0,11;0,39;0,05;0,05
5,90;0,11;0,39;0,05;0,05
